Expt,date,Speed
CLG,6-Feb-13,1300
CLG,7-Feb-13,1320
CLG,8-Feb-13,1309.712256
CLG,21-Feb-13,1288.399299
CLG,22-Feb-13,1298.150972
CLG,27-Feb-13,1306.209309
CLG,28-Feb-13,1317.537962
CLG,1-Mar-13,1325.510338
CLG,15-Mar-13,1316.244637
CLG,16-Mar-13,1325.282916
CLG,17-Mar-13,1312.643698
CLG,21-Mar-13,1303.780711
CLG,22-Mar-13,1283.853133
CLG,30-Mar-13,1288.478034
CLG,31-Mar-13,1297.101839
CLG,4-Apr-13,1304.977498
CLG,11-Apr-13,1317.141075
CLG,12-Apr-13,1304.849265
CLG,17-Apr-13,1308.165081
CLG,18-Apr-13,1316.287532
CLG,19-Apr-13,1292.69995
CLG,26-Apr-13,1281.687606
COL,6-Feb-13,1300
COL,14-Feb-13,1290.853122
COL,21-Feb-13,1279.769779
COL,22-Feb-13,1280.322969
COL,27-Feb-13,1253.193774
COL,28-Feb-13,1246.10114
COL,1-Mar-13,1238.128764
COL,15-Mar-13,1251.815083
COL,16-Mar-13,1262.087378
COL,17-Mar-13,1253.783337
COL,21-Mar-13,1245.939485
COL,22-Mar-13,1229.468682
COL,30-Mar-13,1240.358793
COL,31-Mar-13,1222.153348
COL,4-Apr-13,1205.17659
COL,5-Apr-13,1216.747399
COL,11-Apr-13,1211.197843
COL,12-Apr-13,1202.895404
COL,17-Apr-13,1229.552572
COL,18-Apr-13,1223.73578
COL,19-Apr-13,1227.675415
CRS,6-Feb-13,1300
CRS,7-Feb-13,1310
CRS,8-Feb-13,1329.712732
CRS,14-Feb-13,1338.85961
CRS,15-Feb-13,1346.926846
CRS,27-Feb-13,1352.64599
CRS,28-Feb-13,1341.317337
CRS,1-Mar-13,1351.068502
CRS,15-Mar-13,1360.334203
CRS,16-Mar-13,1369.484355
CRS,17-Mar-13,1376.794956
CRS,30-Mar-13,1374.140697
CRS,31-Mar-13,1381.083703
CRS,4-Apr-13,1387.662939
CRS,5-Apr-13,1382.996563
CRS,11-Apr-13,1394.950491
CRS,12-Apr-13,1383.906352
CRS,17-Apr-13,1371.316154
CRS,18-Apr-13,1366.589253
CRS,19-Apr-13,1339.600266
CRS,27-Apr-13,1325.998881
CRS,28-Apr-13,1313.027356
DIG,6-Feb-13,1300
DIG,7-Feb-13,1290
DIG,8-Feb-13,1290.287744
DIG,14-Feb-13,1311.125713
DIG,15-Feb-13,1320.248652
DIG,21-Feb-13,1329.945483
DIG,27-Feb-13,1357.205798
DIG,28-Feb-13,1364.298432
DIG,1-Mar-13,1372.530395
DIG,15-Mar-13,1358.844075
DIG,16-Mar-13,1365.500218
DIG,17-Mar-13,1352.319126
DIG,21-Mar-13,1368.757789
DIG,22-Mar-13,1375.363035
DIG,30-Mar-13,1374.810758
DIG,31-Mar-13,1381.354874
DIG,11-Apr-13,1369.191297
DIG,12-Apr-13,1356.431489
DIG,17-Apr-13,1330.805363
DIG,18-Apr-13,1341.966102
